show_id,type,show_title,director,cast,release_year,rating,duration,genres,country,synopsis,show_newid,genres_merged,cumulative_top_10
s7861,Movie,Return To The 36th Chamber,Chia-Liang Liu,"Gordon Liu, Lung Wei Wang, Hou Hsiao, Lun Hua, Yeong-mun Kwon, Kara Hui, Szu-Chia Chen, Tsui Ling Yu, Wei Hao Teng, Gong Shih",1980,R,97 min,"Action & Adventure, Comedies, International Movies",Hong Kong,"When thugs prey upon innocent factory workers, a small-time scammer trains for revenge by studying the moves of Shaolin temple monks.",s_0109,"Action & Adventure, Comedies, International Movies",
s7189,Movie,Khubsoorat,Hrishikesh Mukherjee,"Ashok Kumar, Rekha, Rakesh Roshan, Shashikala, Aradhana, Dina Pathak, David Abraham, S.N. Banerjee, Keshto Mukherjee",1980,TV-PG,120 min,"Classic Movies, Comedies, Dramas",India,A strict matriarch's regimented household is upended by the arrival of a spunky relative who challenges the rules.,s_0110,"Dramas, Comedies, Classic Movies",
s7821,Movie,Raging Bull,Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent, Nicholas Colasanto, Theresa Saldana, Mario Gallo, Frank Adonis, Joseph Bono",1980,R,129 min,"Classic Movies, Dramas, Sports Movies",United States,"This gritty biopic of brutal boxer Jake LaMotta portrays a tormented soul rising to the top of his sport, only to be undone by his demons.",s_0111,"Dramas, Classic Movies, Sports Movies",
s7756,Movie,Popeye,Robert Altman,"Robin Williams, Shelley Duvall, Ray Walston, Paul Dooley, Paul L. Smith, Richard Libertini, Donald Moffat, Macintyre Dixon, Roberta Maxwell, Donovan Scott",1980,PG,114 min,"Action & Adventure, Children & Family Movies, Comedies",United States,"During a storm that wrecks his ship, super-strong sailor Popeye washes ashore and winds up rooming at the Oyl household, where he meets Olive.",s_0112,"Action & Adventure, Comedies, Children & Family Movies",
s815,Movie,The Four Seasons,Alan Alda,"Alan Alda, Carol Burnett, Len Cariou, Sandy Dennis, Rita Moreno, Jack Weston, Bess Armstrong, Elizabeth Alda, Beatrice Alda",1981,PG,108 min,"Comedies, Romantic Movies",United States,"Three middle-aged couples vacation together every season until one of the men ditches his wife for a younger woman, tilting the group's dynamics.",s_0113,"Comedies, Romantic Movies",
s7073,Movie,Indiana Jones and the Raiders of the Lost Ark,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey, John Rhys-Davies, Denholm Elliott, Alfred Molina, Wolf Kahler, Anthony Higgins, Vic Tablian",1981,PG,116 min,"Action & Adventure, Children & Family Movies, Classic Movies",United States,"When Indiana Jones is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",s_0114,"Action & Adventure, Children & Family Movies, Classic Movies",
s8291,Movie,The Evil Dead,Sam Raimi,"Bruce Campbell, Ellen Sandweiss, Richard DeManincor, Betsy Baker, Theresa Tilly, Bill Vincent, Scott Spiegel, Ivan Raimi, David Horton, John Cameron, Ted Raimi",1981,TV-MA,85 min,"Classic Movies, Cult Movies, Horror Movies",United States,"During a stop at a remote cabin deep within the woods, a group of teens begins turning into flesh-eating zombies in director Sam Raimi's cult classic.",s_0115,"Horror Movies, Cult Movies, Classic Movies",
s7161,Movie,Kaalia,Tinnu Anand,"Amitabh Bachchan, Asha Parekh, Parveen Babi, Amjad Khan, Pran, K.N. Singh, Sajjan, Murad, Kader Khan, Jagdeep",1981,TV-14,173 min,"Action & Adventure, Dramas, International Movies",India,"Jailed for robbing his brother’s unscrupulous employer, a simpleton has a transformation while in prison, emerging with a violent mission for revenge.",s_0116,"Action & Adventure, International Movies, Dramas",
s2483,Movie,Bye Bye London,Almunsif Alsuwaisi,"Abdulhussain Abdulredah, Ghanem Al-Saleh, Mariam Al-Ghadban, Dawood Hussain, Entesar Alsharah, Mohamed Gaber",1981,TV-14,177 min,"Comedies, Dramas, International Movies",Kuwait,"In this satirical play, a wealthy Kuwaiti businessman travels to London for pleasure and encounters a host of eccentric characters.",s_0117,"Dramas, Comedies, International Movies",
s1056,Movie,Zoot Suit,Luis Valdez,"Daniel Valdez, Edward James Olmos, Charles Aidman, Tyne Daly, John Anderson, Abel Franco, Mike Gomez, Francis X. McCarthy, Alma Martínez, Lupe Ontiveros, Tony Plana",1981,R,103 min,"Cult Movies, Dramas, Music & Musicals",United States,"In this drama based on a 1940s trial, the members of a Mexican American gang are sentenced to San Quentin for a murder they may not have committed.",s_0118,"Dramas, Cult Movies, Music & Musicals",
s7385,Movie,Mahjong Heroes,Li Pei-Chuan,"Patrick Tse, Betty Ting Pei, Hua Yueh, Chin Siu Ho, Lau Hak-Suen, Kwan Hoi-san",1981,TV-PG,92 min,"Comedies, International Movies",Hong Kong,"In this comedy, characters from all walks of life go head-to-head around the mahjong table in a high-stakes contest of different playing styles.",s_0119,"Comedies, International Movies",
s8749,Movie,Winter of Our Dreams,John Duigan,"Judy Davis, Bryan Brown, Cathy Downes, Baz Luhrmann, Peter Mochrie, Mervyn Drake, Margie McCrae",1981,NR,86 min,"Classic Movies, Dramas",Australia,"After the death of a long-ago lover, married philanderer Rob tracks down her friend, a drug-addicted prostitute desperate to escape her dead-end life.",s_0120,"Dramas, Classic Movies",
s8106,Movie,Stripes,Ivan Reitman,"Bill Murray, Harold Ramis, Warren Oates, P.J. Soles, Sean Young, John Candy, John Larroquette, John Voldstad, John Diehl, Lance LeGault, Judge Reinhold",1981,R,106 min,"Classic Movies, Comedies, Cult Movies",United States,"After losing everything, an indolent sad sack impulsively joins the U.S. Army and cajoles his best friend into enlisting, too.",s_0121,"Comedies, Cult Movies, Classic Movies",
s2491,Movie,The Married Couples,Hassan AbdulSalam,"Samir Ghanem, George Sidhum, Sherine, Nagah El-Mogui",1981,TV-14,195 min,"Comedies, International Movies, Romantic Movies",Egypt,"Hailing from different classes, a young man and his wife try to find their version of happily married when both yearn to leave their old lives behind.",s_0122,"Comedies, Romantic Movies, International Movies",
s6766,Movie,Five Elements Ninjas,Cheh Chang,"Tien-chi Cheng, Tien Hsiang Lung, Meng Lo, Michael Chan Wai-Man, Pei Hsi Chen, Li Wang, Ke Chu",1982,R,104 min,"Action & Adventure, International Movies",Hong Kong,"When five ninjas whose fighting styles are based on natural elements unleash their fury on a rival school, a lone survivor vows deadly revenge.",s_0123,"Action & Adventure, International Movies",
s4548,Movie,Monty Python: Live at The Hollywood Bowl,"Terry Hughes, Ian MacNaughton","Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Neil Innes, Carol Cleveland",1982,R,80 min,Comedies,United Kingdom,"Film clips and Terry Gilliam animations feature in this live-to-tape performance of greatest hits, including ""Travel Agent"" and ""Solo Wrestling.""",s_0124,Comedies,
s1863,Movie,Disco Dancer,B. Subhash,"Mithun Chakraborty, Kim, Kalpana Iyer, Om Puri, Gita Siddharth, Yusuf Khan, Bob Christo, Om Shivpuri, Karan Razdan",1982,TV-14,134 min,"Cult Movies, Dramas, International Movies",India,"A poor boy grows up to be a famous disco dancer, hoping to use his art to exact revenge on the millionaire who once framed him and his mother for theft.",s_0125,"Dramas, International Movies, Cult Movies",
s8267,Movie,The Dark Crystal,"Frank Oz, Jim Henson","Jim Henson, Kathryn Mullen, Frank Oz, Dave Goelz, Stephen Garlick, Lisa Maxwell, Billie Whitelaw, Percy Edwards, Joseph O'Conor",1982,PG,93 min,Children & Family Movies,"United States, United Kingdom","In this mythical tale, Jen, the last of the Gelfling race, is charged with healing the Crystal of Truth after its mutilation sets off an era of terror.",s_0126,Children & Family Movies,
s1827,Movie,The Little Wars,Maroun Baghdadi,"Soraya Khoury, Nabil Ismaïl, Roger Hawa, Reda Khoury, Youcef Hosni, Rifaat Tarabay",1982,TV-14,108 min,"Dramas, Independent Movies, International Movies","France, Lebanon","Beirut resident Soraya is drawn to two men: daredevil photographer Nabil and Talal, who must embrace his feudal heritage when his father is kidnapped.",s_0127,"Dramas, International Movies, Independent Movies",
s6256,Movie,Bazaar,Sagar Sarhadi,"Farooq Shaikh, Smita Patil, Naseeruddin Shah, Bharat Kapoor, Supriya Pathak, Rita Rani Kaul, Malika",1982,TV-14,121 min,"Dramas, Independent Movies, International Movies",India,"A young man challenges traditional customs by standing up to the father of the woman he loves, who has promised her to a wealthy expatriate.",s_0128,"Dramas, International Movies, Independent Movies",
s8409,Movie,The lynx,Stanisław Różewicz,"Jerzy Radziwiłowicz, Franciszek Pieczka, Piotr Bajor, Ryszarda Hanin, Janusz Paluszkiewicz, Henryk Machalica, Hanna Mikuć, Maria Klejdysz",1982,TV-14,82 min,"Dramas, International Movies",Poland,A priest's duties are tested when a young guerrilla asks for absolution while confessing his plans to murder a local man he believes is a traitor.,s_0129,"Dramas, International Movies",
s7945,Movie,Satte Pe Satta,Raj N. Sippy,"Amitabh Bachchan, Hema Malini, Amjad Khan, Sachin, Shakti Kapoor, Ranjeeta Kaur, Paintal, Ranjeet",1982,TV-14,153 min,"Comedies, Cult Movies, Dramas",India,"The eldest of seven brothers who run a family farm together marries a pretty nurse, inspiring his country-bumpkin siblings to follow his example.",s_0130,"Dramas, Comedies, Cult Movies",
s7882,Movie,Rocky III,Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Burgess Meredith, Tony Burton, Mr. T, Hulk Hogan, Ian Fried",1982,PG,100 min,"Dramas, Sports Movies",United States,"After taking a pounding from a powerful young fighter, humbled world champ Rocky Balboa turns to ex-rival Apollo Creed for help in regaining his form.",s_0131,"Dramas, Sports Movies",
s7558,Movie,Namak Halaal,Prakash Mehra,"Amitabh Bachchan, Shashi Kapoor, Parveen Babi, Smita Patil, Waheeda Rehman, Om Prakash, Ranjeet, Satyendra Kapoor",1982,TV-14,171 min,"Action & Adventure, Comedies, International Movies",India,"While loyally defending his boss from mobsters trying to kill him, a naive, hotel bellboy discovers the family he never knew he had.",s_0132,"Action & Adventure, Comedies, International Movies",
s7172,Movie,Katha,Sai Paranjape,"Farooq Shaikh, Naseeruddin Shah, Deepti Naval, Veeni Paranjape Joglekar, Mallika Sarabhai, Arun Joglekar",1982,TV-PG,140 min,"Comedies, Dramas, Independent Movies",India,"Secretly in love with his neighbor, a mild-mannered clerk is heartbroken when his much bolder, more charming friend wins her heart instead.",s_0133,"Dramas, Comedies, Independent Movies",
s7914,Movie,Saath Saath,Raman Kumar,"Deepti Naval, Farooq Shaikh, Satish Shah, Iftekhar, A.K. Hangal, Neena Gupta, Avtar Gill, Javed Khan",1982,TV-14,118 min,"Dramas, Independent Movies, International Movies",India,"A young woman falls for her classmate’s idealistic, non-materialistic ways, but is troubled upon seeing his principles change after they marry.",s_0134,"Dramas, International Movies, Independent Movies",
s7285,Movie,Legendary Weapons of China,Chia-Liang Liu,"Gordon Liu, Chia Yung Liu, Hou Hsiao, Chia-Liang Liu, Tiet Wo Chu, Sheng Fu, Kara Hui",1982,TV-14,101 min,"Action & Adventure, Cult Movies, International Movies",Hong Kong,"Three assassins – magician Lei Ying, hit man Tieh Hon and kung fu master Ti Tan – are sent to Yunnan by their clan leader to bring to justice another clan member who betrayed the tribe.",s_0135,"Action & Adventure, International Movies, Cult Movies",
s2368,Movie,An Egyptian Story,Youssef Chahine,"Nour El-Sherif, Magda El-Khatib, Yousra, Mohsen Mohiedine, Oussama Nadir, Layla Hamadah, Mohamed Mounir, Ragaa Hussein",1982,TV-MA,129 min,"Classic Movies, Dramas, Independent Movies",Egypt,"While undergoing heart surgery in London, Yehia reflects on his life as his heart chamber becomes a courtroom where he's tried for his mistakes.",s_0136,"Dramas, Independent Movies, Classic Movies",
s132,Movie,Blade Runner: The Final Cut,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh, Daryl Hannah, William Sanderson, Brion James, Joe Turkel, Joanna Cassidy, James Hong, Morgan Paull",1982,R,117 min,"Action & Adventure, Classic Movies, Cult Movies",United States,"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants.""",s_0137,"Action & Adventure, Cult Movies, Classic Movies",
s6666,Movie,Eddie Murphy: Delirious,Bruce Gowers,Eddie Murphy,1983,TV-MA,69 min,Stand-Up Comedy,United States,"Flashing the wild stand-up comedy that made him a household name, Eddie Murphy unleashes uncensored observations and parodies in this 1983 live show.",s_0138,Stand-Up Comedy,
s7918,Movie,Sadma,Balu Mahendra,"Kamal Hassan, Sridevi, Silk Smitha, Gulshan Grover, Paintal, Arvind Deshpande",1983,TV-14,137 min,"Dramas, International Movies, Romantic Movies",India,"After a traumatic injury leaves her with amnesia and age regression, a young woman is sold to a brothel before a teacher becomes her savior.",s_0139,"Dramas, International Movies, Romantic Movies",
s7652,Movie,On the Wrong Track,Clarence Yiu-leung Fok,"Andy Lau, Yim Chau-wah, Wai Yee Chan, Prudence Liew, Poon Wang Ban, Hua Yueh, Wong Kung-miu",1983,TV-14,89 min,"Action & Adventure, International Movies",Hong Kong,"Two rebellious, hot-headed teenage brothers get caught up in gang life, which has dangerous repercussions for their family and friends.",s_0140,"Action & Adventure, International Movies",
s7394,Movie,Mandi,Shyam Benegal,"Shabana Azmi, Smita Patil, Naseeruddin Shah, Amrish Puri, Kulbhushan Kharbanda, Saeed Jaffrey, Om Puri, Sreela Mazumdar, Neena Gupta",1983,TV-MA,155 min,"Dramas, Independent Movies, International Movies",India,"Forbidden love, fraying loyalties and flagrant hypocrisy emerge when sanctimonious politicians drive a madam’s brothel from the heart of Hyderabad.",s_0141,"Dramas, International Movies, Independent Movies",
s8710,Movie,Weather forecast,Antoni Krauze,"Halina Buyno-Łoza, Zofia Cegiełkowa, Barbara Chojecka, Eugenia Horecka, Zygmunt Zintel, Henryka Janikowska, Lena Wilczyńska, Jerzy Block",1983,TV-MA,91 min,"Dramas, International Movies",Poland,"When a delivery of coffins foreshadows a harsh winter, residents of a retirement home escape their confines and rediscover the world outside.",s_0142,"Dramas, International Movies",
s5297,Movie,Ek Jaan Hain Hum,Rajiv Mehra,"Rajiv Kapoor, Divya Rana, Shammi Kapoor, Tanuja, Kiran Vairale, Rakesh Bedi, Gulshan Grover, Monty Sharma",1983,TV-14,151 min,"Dramas, International Movies, Music & Musicals",India,"While trying to win over his beloved’s parents, a young man is accused of arson, and his father soon realizes insanity may be his only defense.",s_0143,"Dramas, International Movies, Music & Musicals",
s44,Movie,Jaws 3,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers",United States,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",s_0144,"Action & Adventure, Thrillers, Horror Movies",
s7312,Movie,Little Dragon Maiden,Hua Shan,"Leslie Cheung, Jing-Jing Yung, Chen Kuan-tai, Leanne Liu, Tanny Tien Ni",1983,TV-14,92 min,"Action & Adventure, International Movies, Romantic Movies",Hong Kong,"Seeking to improve his combat skills, a young man falls in love with a woman with mystical powers, but his past stands in the way of their union.",s_0145,"Action & Adventure, International Movies, Romantic Movies",
s7420,Movie,Masoom,Shekhar Kapur,"Shabana Azmi, Naseeruddin Shah, Saeed Jaffrey, Jugal Hansraj, Urmila Matondkar, Aradhana Srivastav, Tanuja, Supriya Pathak",1983,TV-14,138 min,"Dramas, Independent Movies, International Movies",India,A loving husband and father's joyful family life is rocked to its core upon the discovery that he has a young son borne from a past extramarital affair.,s_0146,"Dramas, International Movies, Independent Movies",
s7679,Movie,Opium and the Kung Fu Master,Chia Tang,"Lung Ti, Te-Lo Mai, Leanne Liu, Kuan Tai Chen, Phillip Ko, Kuan-chung Ku, Kwok Kuen Chan, Hoi Sang Lee, Tau Wan Yue, Chia Tang, Shen Chan",1984,TV-MA,86 min,"Action & Adventure, International Movies",Hong Kong,"Leader of the Ten Kwangtung Tigers, Tieh Chiao-san works with his kung fu students to protect his village from crime. But when an opium dealer starts to ruin the town, Tieh Chiao-san struggles to fight back, thanks to his growing opium addiction.",s_0147,"Action & Adventure, International Movies",
s5310,Movie,Sohni Mahiwal,"Latif Faiziyev, Umesh Mehra","Zeenat Aman, Pran, Tanuja, Poonam Dhillon",1984,TV-14,160 min,"Dramas, International Movies, Romantic Movies","India, Soviet Union","After being violently separated from the woman he loves, a young man must disguise himself in order to keep meeting her.",s_0148,"Dramas, International Movies, Romantic Movies",
s811,Movie,Streets of Fire,Walter Hill,"Michael Paré, Diane Lane, Rick Moranis, Amy Madigan, Willem Dafoe, Deborah Van Valkenburgh, Richard Lawson, Rick Rossovich, Bill Paxton, Lee Ving",1984,PG,94 min,"Action & Adventure, Classic Movies, Cult Movies",United States,"Tough ex-soldier Tom Cody springs into action when a depraved motorcycle gang kidnaps his former girlfriend, Ellen, who's now a famous singer.",s_0149,"Action & Adventure, Cult Movies, Classic Movies",
s7845,Movie,Red Dawn,John Milius,"Patrick Swayze, C. Thomas Howell, Lea Thompson, Charlie Sheen, Darren Dalton, Jennifer Grey, Brad Savage, Doug Toby, Ben Johnson, Harry Dean Stanton",1984,PG-13,114 min,"Action & Adventure, Cult Movies",United States,A group of teenagers witnesses Soviet and Cuban paratroopers descending on their small Colorado town and systematically setting off World War III.,s_0150,"Action & Adventure, Cult Movies",
s167,Movie,Once Upon a Time in America,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld, Burt Young, Joe Pesci, Danny Aiello, William Forsythe, James Hayden",1984,R,229 min,"Classic Movies, Dramas","Italy, United States",Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.,s_0151,"Dramas, Classic Movies",
s2722,Movie,Duniya,Ramesh Talwar,"Dilip Kumar, Rishi Kapoor, Pran, Amrita Singh, Ashok Kumar, Prem Chopra, Amrish Puri, Satyen Kappu, Mac Mohan, Javed Khan",1984,TV-14,170 min,"Action & Adventure, Dramas, International Movies",India,"A lawyer defends his childhood friend – and girlfriend's brother – in a murder case, unaware of his own deep connection to the attorney he’s up against.",s_0152,"Action & Adventure, International Movies, Dramas",
s7795,Movie,Prince Charming,Wong Jing,"Kenny Bee, Cherie Chung, Chan Pak-cheung, Rosamund Kwan, Maggie Cheung",1984,TV-14,93 min,"Comedies, International Movies, Romantic Movies",Hong Kong,"Two young buddies seek love in Hawaii, and upon returning home in disappointment, soon entangle themselves in a messy identity swap.",s_0153,"Comedies, Romantic Movies, International Movies",
s7520,Movie,Mr. Virgin,Anthony Chan,"Olivia Cheng, Alfred Cheung, Hu Chin, Chung Ping Geung, Anglie Leung",1984,TV-14,86 min,"Comedies, Dramas, International Movies",Hong Kong,"When a young man ignores a feng shui master’s warning and decides to marry before turning 30, a series of mishaps begins to curse his life.",s_0154,"Dramas, Comedies, International Movies",
s7074,Movie,Indiana Jones and the Temple of Doom,Steven Spielberg,"Harrison Ford, Kate Capshaw, Amrish Puri, Roshan Seth, Philip Stone, Roy Chiao, Jonathan Ke Quan, David Yip, Ric Young, Chua Kah Joo",1984,PG,119 min,"Action & Adventure, Children & Family Movies, Classic Movies",United States,"Indiana Jones, his young sidekick and a spoiled songbird get more than they bargained for when they go to India in search of a missing magical stone.",s_0155,"Action & Adventure, Children & Family Movies, Classic Movies",
s602,Movie,The Karate Kid,John G. Avildsen,"Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove, Randee Heller, William Zabka, Ron Thomas, Rob Garrison",1984,PG,127 min,"Action & Adventure, Children & Family Movies, Classic Movies",United States,"When a bullied teen befriends an unassuming martial arts master, he’ll learn life lessons — and the right moves — to beat back his merciless rivals.",s_0156,"Action & Adventure, Children & Family Movies, Classic Movies",2
s8436,Movie,The Natural,Barry Levinson,"Robert Redford, Robert Duvall, Glenn Close, Kim Basinger, Wilford Brimley, Barbara Hershey, Robert Prosky, Richard Farnsworth, Joe Don Baker, John Finnegan",1984,PG,138 min,"Classic Movies, Dramas, Sports Movies",United States,A gifted baseball player whose life has taken some startling turns becomes a 35-year-old rookie who helps a cellar-dwelling team get back in the game.,s_0157,"Dramas, Classic Movies, Sports Movies",
s7434,Movie,Medium,Jacek Koprowicz,"Władysław Kowalski, Michał Bajor, Jerzy Zelnik, Jerzy Stuhr, Grażyna Szapołowska, Jerzy Nowak, Ewa Dałkowska, Piotr Machalica, Zygmunt Zintel, Henryk Bista",1985,TV-MA,90 min,"Horror Movies, International Movies, Thrillers","Poland, West Germany","In 1930s Poland, a powerful psychic steers a group of strangers toward a fated convergence that ensures survival for one and annihilation for others.",s_0158,"International Movies, Thrillers, Horror Movies",
s6615,Movie,Disciples Of The 36th Chamber,Chia-Liang Liu,"Hou Hsiao, Gordon Liu, Lily Li, Jason Pai Piao, Chia-Liang Liu",1985,TV-14,90 min,"Action & Adventure, International Movies",Hong Kong,"Shaolin monk San Te returns to protect a fellow hero with a talent for finding trouble in this action-packed sequel to ""The 36th Chamber of Shaolin.""",s_0159,"Action & Adventure, International Movies",
s7883,Movie,Rocky IV,Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Dolph Lundgren, Brigitte Nielsen, Tony Burton, Michael Pataki",1985,PG,92 min,"Dramas, Sports Movies",United States,"Rocky Balboa takes on the Cold War, coming out of retirement to battle a Soviet fighter who pulverized Rocky's friend and former rival, Apollo Creed.",s_0160,"Dramas, Sports Movies",
s6706,Movie,Esperando La Carroza,Alejandro Doria,"Luis Brandoni, China Zorrilla, Antonio Gasalla, Julio De Grazia, Betiana Blum, Monica Villa, Juan Manuel Tenuta, Andrea Tenuta, Cecilia Rossetto, Enrique Pinti",1985,NR,95 min,"Comedies, Cult Movies, International Movies",Argentina,Cora has three sons and a daughter and she´s almost 80. One day during a family reunion the big question comes up: who will be her heir?,s_0161,"Comedies, International Movies, Cult Movies",
s8570,Movie,The Young Vagabond,Sze Yu Lau,"Chia-Hui Liu, Wong Yu, Jason Pai Piao, Lung Wei Wang, Hoi-Shan Kwan, Feng Ku, San Nam Hung, Kuo Hua Chang, Feng Kuan",1985,TV-14,85 min,"Action & Adventure, Comedies, International Movies",Hong Kong,"To avenge his master, a wine-loving young man steps up his fighting skills to defeat a powerful thief in a life-or-death match.",s_0162,"Action & Adventure, Comedies, International Movies",
s7828,Movie,Ram Teri Ganga Maili,Raj Kapoor,"Mandakini, Rajiv Kapoor, Divya Rana, Saeed Jaffrey, Kulbhushan Kharbanda, Raza Murad, Sushma Seth, Trilok Kapoor",1985,TV-14,178 min,"Classic Movies, Dramas, International Movies",India,"Abandoned by her new husband and father of her son, a mountain woman journeys to Calcutta to find him, constantly tested by social evils along the way.",s_0163,"Dramas, International Movies, Classic Movies",
s8629,Movie,"Trikal (Past, Present, Future)",Shyam Benegal,"Leela Naidu, Neena Gupta, Anita Kanwar, Soni Razdan, Dalip Tahil, K.K. Raina, Kunal Kapoor, Keith Stevenson, Naseeruddin Shah, Kulbhushan Kharbanda",1985,TV-14,134 min,"Comedies, Dramas, Independent Movies",India,"A Goan native returns to his now-derelict, palatial childhood home, recalling his family’s interpersonal drama during the end of Portuguese rule.",s_0164,"Dramas, Comedies, Independent Movies",
s304,Movie,Esperando la carroza,Alejandro Doria,"Luis Brandoni, China Zorrilla, Antonio Gasalla, Julio De Grazia, Betiana Blum, Monica Villa, Juan Manuel Tenuta, Andrea Tenuta, Cecilia Rossetto, Enrique Pinti",1985,TV-MA,95 min,"Comedies, Cult Movies, International Movies",Argentina,Cora has three sons and a daughter and she´s almost 80. One day during a family reunion the big question comes up: who will be her heir?,s_0165,"Comedies, International Movies, Cult Movies",
s5944,Movie,Adam: His Song Continues,Robert Markowitz,"Daniel J. Travanti, JoBeth Williams, Richard Masur, Martha Scott, Paul Regina",1986,TV-MA,96 min,Dramas,United States,"After their child was abducted and murdered, John and Reve Walsh fought to raise national awareness of the problem of missing children.",s_0166,Dramas,
s334,Movie,Ferris Bueller's Day Off,John Hughes,"Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, Jennifer Grey, Cindy Pickett, Lyman Ward, Edie McClurg, Charlie Sheen, Kristy Swanson, Ben Stein, Del Close",1986,PG-13,103 min,"Classic Movies, Comedies, Cult Movies",United States,"After faking an illness to skip school, popular teen Ferris Bueller enjoys a fun-filled day in Chicago with his girlfriend and his uptight best friend.",s_0167,"Comedies, Cult Movies, Classic Movies",
s156,Movie,Labyrinth,Jim Henson,"David Bowie, Jennifer Connelly, Frank Oz, Kevin Clash, Anthony Asbury, Dave Goelz, Brian Henson, Ron Mueck, Karen Prell, Shari Weiser",1986,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies","United Kingdom, United States","In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin.",s_0168,"Action & Adventure, Cult Movies, Children & Family Movies",
s177,Movie,The Golden Child,Michael Ritchie,"Eddie Murphy, J.L. Reate, Charles Dance, Charlotte Lewis, Victor Wong, Randall Tex Cobb, James Hong, Shakti Chen, Tau Logo, Tiger Chung Lee",1986,PG-13,94 min,"Action & Adventure, Comedies",United States,A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.,s_0169,"Action & Adventure, Comedies",
s5081,Movie,Pyar Ke Do Pal,Rajiv Mehra,"Mithun Chakraborty, Jayapradha, Simple Kapadia, Krishan Dhawan, Jagdeep, Bindu, Satyendra Kapoor, Shubha Khote, Amrit Pal, Lalita Pawar",1986,TV-14,153 min,"Dramas, International Movies, Music & Musicals",India,"Twins separated by a court order meet at camp and decide to reunite their parents, unaware of the dark secret that drove them apart years before.",s_0170,"Dramas, International Movies, Music & Musicals",
s603,Movie,The Karate Kid Part II,John G. Avildsen,"Ralph Macchio, Pat Morita, Nobu McCarthy, Tamlyn Tomita, Yuji Okumoto, Joey Miyashima, Marc Hayashi, Danny Kamekona, Tony O'Dell, Martin Kove, William Zabka",1986,PG,113 min,"Action & Adventure, Children & Family Movies, Dramas",United States,"Daniel and his martial-arts mentor, Mr. Miyagi, visit Okinawa where they battle a hostile new nemesis and a former foe looking to settle an old score.",s_0171,"Action & Adventure, Children & Family Movies, Dramas",
s6152,Movie,An American Tail,Don Bluth,"Erica Yohn, Nehemiah Persoff, Amy Green, Phillip Glasser, Christopher Plummer, John Finnegan, Will Ryan, Hal Smith, Dom DeLuise, Madeline Kahn",1986,G,80 min,Children & Family Movies,United States,"Fievel, a young Russian mouse, immigrates to America and must make his own way in the strange and sometimes perilous new world.",s_0172,Children & Family Movies,
s5945,Movie,Hard Lessons,Eric Laneuville,"Denzel Washington, Lynn Whitfield, Richard Masur, Akosua Busia",1986,TV-14,94 min,Dramas,United States,"This drama based on real-life events tells the story of George McKenna, the tough, determined new principal of a notorious Los Angeles high school.",s_0173,Dramas,
s7752,Movie,Platoon,Oliver Stone,"Tom Berenger, Willem Dafoe, Charlie Sheen, Forest Whitaker, Francesco Quinn, John C. McGinley, Richard Edson, Kevin Dillon, Reggie Johnson, Keith David",1986,R,120 min,"Action & Adventure, Classic Movies, Dramas","United States, United Kingdom",A soldier grows disillusioned as he's caught between rival sergeants in this semi-autobiographical Vietnam War drama from writer-director Oliver Stone.,s_0174,"Action & Adventure, Classic Movies, Dramas",
s5131,Movie,Jaal,Umesh Mehra,"Jeetendra, Mithun Chakraborty, Rekha, Mandakini, Moon Moon Sen, Vinod Mehra, Tanuja, Amrit Pal",1986,TV-14,162 min,"Action & Adventure, International Movies",India,"When a mysterious woman hires Shankar to spy on a family, he must determine how his own father's abandonment figures into the situation.",s_0175,"Action & Adventure, International Movies",
